"Tag Code","Site Name","Release Date MMDDYYYY","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Brood Year YYYY","First Obs Date Max","Last Obs Date Min"
"3DD.003D4405A2","ICL - Lower Icicle Instream Array","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/16/2022","06/18/2022"
"3DD.003D440BB5","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/16/2022","06/16/2022"
"3DD.003D70DF12","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/16/2022","06/21/2022"
"3DD.003D39D6C2","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/15/2022","06/20/2022"
"3DD.003D39DA06","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/14/2022","06/15/2022"
"3DD.003D747CD5","PRA - Priest Rapids Adult","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/14/2022","06/14/2022"
"3DD.003D39E083","MCN","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/13/2022","06/13/2022"
"3DD.003D39F33F","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/13/2022","06/13/2022"
"3D9.1BF1E8B226","ICL - Lower Icicle Instream Array","4/19/2004","1","Chinook","1","Spring","H","Hatchery Reared","2002","06/12/2022","06/12/2022"
"3D9.1C2DF85BDB","ICL - Lower Icicle Instream Array","4/24/2013","1","Chinook","1","Spring","H","Hatchery Reared","2011","06/12/2022","06/18/2022"
"3DD.003D39F631","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/12/2022","06/13/2022"
"3DD.003D39F859","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/12/2022","06/13/2022"
"3DD.003D39D1E3","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/11/2022","06/11/2022"
"3DD.003D39D6C2","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/11/2022","06/11/2022"
"3D9.1BF157D0DA","ICL - Lower Icicle Instream Array","4/22/2002","1","Chinook","1","Spring","H","Hatchery Reared","2000","06/10/2022","06/10/2022"
"3DD.003C068918","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/21/2022"
"3DD.003D39D1C5","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/14/2022"
"3DD.003D39DC2F","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/10/2022"
"3DD.003D39EE52","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","07/05/2022"
"3DD.003D39F379","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/28/2022"
"3DD.003D39F631","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/10/2022"
"3DD.003D3A01BC","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/13/2022"
"3DD.003D3A0538","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/13/2022"
"3DD.003D3A07CC","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/10/2022"
"3DD.003D440BAB","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/20/2022"
"3DD.003D440DDC","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/10/2022","06/13/2022"
"3DD.003D749C67","RIA - Rock Island Adult","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/10/2022","06/10/2022"
"3DD.007762D084","ICL - Lower Icicle Instream Array","4/15/2015","1","Chinook","1","Spring","H","Hatchery Reared","2013","06/10/2022","06/10/2022"
"3DD.003D39E657","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/09/2022","06/09/2022"
"3DD.003D749734","ICL - Lower Icicle Instream Array","4/14/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/09/2022","06/09/2022"
"3DD.003D747DAA","RIA - Rock Island Adult","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/08/2022","06/08/2022"
"3DD.003D440BAB","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/07/2022","06/07/2022"
"3DD.003D39D7E3","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/06/2022","06/13/2022"
"3DD.003D39F3FB","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/06/2022","06/08/2022"
"3DD.003D440B9C","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/06/2022","06/06/2022"
"3DD.003D70E9B4","RIA - Rock Island Adult","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/06/2022","06/06/2022"
"3DD.003D39CFEE","LNF - Leavenworth NFH Adult Ladder","4/20/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/07/2022"
"3DD.003D39D20C","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/05/2022"
"3DD.003D39D7E3","ICL - Lower Icicle Instream Array","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/05/2022"
"3DD.003D39D945","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/06/2022"
"3DD.003D39DC12","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/05/2022"
"3DD.003D39E9F9","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/08/2022"
"3DD.003D39ED89","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/27/2022"
"3DD.003D39F859","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/05/2022"
"3DD.003D39FB9E","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/06/2022"
"3DD.003D39FE9D","LNF - Leavenworth NFH Adult Ladder","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/07/2022"
"3DD.003D3A0709","ICL - Lower Icicle Instream Array","4/22/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/05/2022"
"3DD.003D440B1C","LNF - Leavenworth NFH Adult Ladder","4/21/2020","1","Chinook","1","Spring","H","Hatchery Reared","2018","06/05/2022","06/08/2022"
"3DD.003D70DBD5","RIA - Rock Island Adult","4/16/2021","1","Chinook","1","Spring","H","Hatchery Reared","2019","06/05/2022","06/05/2022"
